,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Manual_snippet,Sources
0,Acokanthera,,,2171-1,Genus,l,Manual
7,Allamanda,,,2182-1,Genus,l,Manual
9,Alstonia,,,331333-2,Genus,l,Manual
10,Alyxia,,,331334-2,Genus,l,Manual
20,Aspidosperma,,,2217-1,Genus,l,Manual
34,Cascabela,,,2250-1,Genus,l,Manual
40,Chilocarpus,,,2260-1,Genus,l,Manual
49,Condylocarpon,,,328988-2,Genus,l,Manual
66,Diplorhynchus,,,2301-1,Genus,l,Manual
70,Dyera,,,2308-1,Genus,l,Manual
86,Geissospermum,,,2340-1,Genus,l,Manual
91,Gonioma,,,2342-1,Genus,l,Manual
98,Hancornia,,,328990-2,Genus,l,Manual
104,Himatanthus,,,30058664-2,Genus,l,Manual
109,Hunteria,,,2377-1,Genus,l,Manual
120,Kopsia,,,328837-2,Genus,l,Manual
122,Landolphia,,,331696-2,Genus,l,Manual
125,Leuconotis,,,2410-1,Genus,l,Manual
147,Ochrosia,,,2461-1,Genus,l,Manual
155,Parahancornia,,,2490-1,Genus,l,Manual
164,Picralima,,,2513-1,Genus,l,Manual
166,Pleiocarpa,,,2516-1,Genus,l,Manual
168,Plumeria,,,30001863-2,Genus,l,Manual
178,Rauvolfia,,,328992-2,Genus,l,Manual
194,Schizozygia,,,2563-1,Genus,l,Manual
206,Tabernaemontana,,,328993-2,Genus,l,Manual
215,Vallesia,,,2617-1,Genus,l,Manual
218,Voacanga,,,2620-1,Genus,l,Manual
222,Wrightia,,,60443770-2,Genus,l,Manual
