,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Manual_snippet,Sources
0,Acokanthera,,,2171-1,Genus,w,Manual
1,Adenium,,,2172-1,Genus,c,Manual
5,Alafia,,,2180-1,Genus,w,Manual
7,Allamanda,,,2182-1,Genus,w,Manual
9,Alstonia,,,331333-2,Genus,w,Manual
10,Alyxia,,,331334-2,Genus,w,Manual
12,Amphineurion,,,2193-1,Genus,w,Manual
15,Apteranthes,,,3206-1,Genus,c,Manual
28,Calotropis,,,30369062-2,Genus,w,Manual
33,Carissa,,,2243-1,Genus,w,Manual
34,Cascabela,,,2250-1,Genus,w,Manual
35,Catharanthus,,,2251-1,Genus,w,Manual
37,Caudanthera,,,986774-1,Genus,c,Manual
40,Chilocarpus,,,2260-1,Genus,w,Manual
47,Coffea,,,325985-2,Genus,w,Manual
49,Condylocarpon,,,328988-2,Genus,w,Manual
64,Desmidorchis,,,3319-1,Genus,c,Manual
70,Dyera,,,2308-1,Genus,w,Manual
81,Funtumia,,,295871-2,Genus,w,Manual
86,Geissospermum,,,2340-1,Genus,w,Manual
89,Gomphocarpus,,,30051534-2,Genus,w,Manual
90,Gongronema,,,3384-1,Genus,w,Manual
91,Gonioma,,,2342-1,Genus,w,Manual
95,Gymnema,,,3398-1,Genus,w,Manual
98,Hancornia,,,328990-2,Genus,w,Manual
100,Hemidesmus,,,3409-1,Genus,w,Manual
104,Himatanthus,,,30058664-2,Genus,w,Manual
107,Holarrhena,,,2371-1,Genus,w,Manual
108,Hoodia,,,3425-1,Genus,c,Manual
109,Hunteria,,,2377-1,Genus,w,Manual
116,Kanahia,,,3453-1,Genus,w,Manual
120,Kopsia,,,328837-2,Genus,w,Manual
122,Landolphia,,,331696-2,Genus,w,Manual
123,Leptadenia,,,3469-1,Genus,c,Manual
125,Leuconotis,,,2410-1,Genus,w,Manual
129,Marsdenia,,,331758-2,Genus,w,Manual
134,Mondia,,,3516-1,Genus,w,Manual
135,Monolluma,,,986816-1,Genus,c,Manual
137,Motandra,,,2442-1,Genus,w,Manual
147,Ochrosia,,,2461-1,Genus,w,Manual
151,Pachypodium,,,30028643-2,Genus,c,Manual
155,Parahancornia,,,2490-1,Genus,w,Manual
158,Pentalinon,,,2502-1,Genus,w,Manual
161,Pergularia,,,3585-1,Genus,w,Manual
162,Periploca,,,3588-1,Genus,w,Manual
164,Picralima,,,2513-1,Genus,w,Manual
166,Pleiocarpa,,,2516-1,Genus,w,Manual
178,Rauvolfia,,,328992-2,Genus,w,Manual
194,Schizozygia,,,2563-1,Genus,w,Manual
197,Secamone,,,30167675-2,Genus,w,Manual
204,Streptocaulon,,,3733-1,Genus,w,Manual
206,Tabernaemontana,,,328993-2,Genus,w,Manual
214,Vallaris,,,2616-1,Genus,w,Manual
215,Vallesia,,,2617-1,Genus,w,Manual
217,Vincetoxicum,,,30010004-2,Genus,c,Manual
218,Voacanga,,,2620-1,Genus,w,Manual
222,Wrightia,,,60443770-2,Genus,w,Manual
223,Xysmalobium,,,3801-1,Genus,w,Manual
