,LEVEL3_NAM,tdwg3_codes,LEVEL2_COD,LEVEL1_COD,Beck_KG_V1_present,decimalLongitude,decimalLatitude,bio10,bio11,bio16,bio17,gmted_breakline,gmted_elevation,gmted_slope,mean_air_temp,precip_amount,precip_seasonality,soil_depth,soil_nitrogen,soil_ocs,soil_ph,soil_soc,temp_seasonality,water_capacity
0,Alberta,ABT,71,7,27,-114.51095857,55.16847238,14.9146664938279,-12.6505017823274,233.878903455118,59.629699416463,751.247318712544,752.041713938461,1.30550114611906,1.51192886828835,494.383447670838,59.814617211252,2525.31194745954,2467.4234048691,51.1016340024823,63.1223708676945,329.825906804341,1078.14363339644,29.7209598657104
1,Afghanistan,AFG,34,3,7,66.02653864,33.83890296,23.5507295569711,-0.358663003535527,238.088477533976,21.3300383974158,1801.58461137918,1811.74490534125,4.75161966864434,11.9641158911809,449.371091123793,90.5074641859267,4415.77935536865,1705.1444675372,33.2145951264529,77.0262823122662,123.74155139389,926.205612413194,19.5097984473418
2,Argentina Northeast,AGE,85,8,14,-61.25823203,-32.60227233,23.8627915090644,11.6443211480094,380.984079444316,101.510938807196,152.00372769949,152.846935072717,0.256282007179133,17.87800970053,1020.53542174508,47.0672027453052,3793.64122005329,1730.36187939906,49.6636435005041,67.6121600566383,207.834763805808,479.288548361183,22.2420055456391
3,Argentina South,AGS,85,8,5,-68.83039105,-44.42958738,16.3712181501181,2.96557149769856,184.050251688319,70.4986381066281,582.970281296881,587.130715973222,2.09535362213487,9.74105924278756,471.842793984224,33.947203106185,3545.82689697762,1757.35466915527,43.0239960550048,74.5811545047643,263.560621587905,521.725358870712,17.6591011752066
4,Argentina Northwest,AGW,85,8,5,-66.36119564,-29.14959223,19.9200667379425,7.82122564136794,327.424953278729,27.2862236826446,1509.36788895344,1514.76126924409,3.00993123443193,14.2478437694288,607.090686523186,81.9005443220197,3360.82320374016,1364.86294863908,34.9752818121553,73.4664857923658,178.936276964121,482.241820535025,18.0354638287402
5,Alabama,ALA,78,7,14,-86.82906784,32.79389912,26.2019407198979,8.48718215665247,427.86571046226,295.107463021564,144.959648636389,145.086218290063,0.676233110784227,17.6309022373623,1456.42408478566,15.9519225634061,1653.81308411215,1722.73734619141,41.9094714028495,52.9752587018694,223.528124738421,688.343956319695,20.991238317757
6,Albania,ALB,13,1,8,20.06837242,41.14254637,20.880930547361,3.46246759548645,538.889814023618,160.595320313065,692.160420376111,684.171432380323,7.08903296719547,12.0942824063478,1410.26789516873,40.5632360952872,1684.6751044551,3262.49274698893,62.9980554580688,68.1301613383823,439.469243791368,678.576177526403,26.003164556962
7,Aldabra,ALD,29,2,3,46.38345351,-9.41280779,27.226749420166,24.1499996185303,419.570007324219,84.4124984741211,0.204986155033112,1.63999998569489,0.069883950054646,25.9270000457764,1033.88000488281,63.6020011901855,4942.66666666667,3138.66674804688,49,60,445.166656494141,121.592750549316,27.25
8,Algeria,ALG,20,2,4,2.63236233,28.16335451,33.1216787273546,12.8633483025833,30.0513402516303,6.85352642666251,557.828044963808,558.863543660983,0.776584924790555,23.239255943705,78.212211966964,64.0950919530272,12278.5538380169,918.195456125713,18.4251295147769,82.0919811217296,56.3618570662922,790.720242945469,9.25539082553428
9,Altay,ALT,30,3,26,84.13073238,51.9681624,15.863437550436,-15.372879143193,246.267069842031,66.4894836660152,757.169747216957,765.139912771042,3.33650617161728,0.605465640840239,588.809238739137,47.8740219572618,2590.39231664726,3935.48992659406,62.1241779676298,66.5364944178884,488.907823376539,1220.1393750375,28.2787398137369
